vr	encoder
0.001	0.023
-0.003	0.024
-0.000	0.026
0.002	0.026
0.002	0.028
0.001	0.026
-0.003	0.025
-0.000	0.023
-0.000	0.023
-0.002	0.028
0.002	0.028
0.002	0.026
0.001	0.025
-0.004	0.023
-0.002	0.023
-0.002	0.025
0.002	0.028
-0.002	0.028
-0.003	0.026
-0.004	0.026
-0.000	0.023
-0.000	0.026
0.002	0.025
0.002	0.029
-0.002	0.026
-0.003	0.026
-0.000	0.023
-0.000	0.023
-0.000	0.024
0.002	0.028
-0.000	0.030
-0.002	0.028
-0.003	0.024
-0.004	0.021
-0.002	0.026
-0.000	0.028
0.002	0.026
-0.000	0.026
-0.002	0.023
-0.003	0.023
-0.003	0.025
-0.000	0.025
0.002	0.028
0.002	0.024
-0.002	0.026
0.001	0.023
-0.004	0.025
-0.004	0.025
-0.002	0.026
0.003	0.028
0.002	0.025
0.001	0.024
-0.003	0.026
-0.003	0.023
-0.000	0.026
0.002	0.025
0.002	0.028
0.001	0.028
-0.002	0.025
-0.003	0.023
-0.002	0.023
-0.000	0.026
0.002	0.025
0.002	0.029
-0.002	0.024
-0.004	0.026
-0.003	0.023
-0.003	0.026
-0.002	0.025
0.002	0.028
0.002	0.028
0.001	0.025
-0.000	0.023
-0.003	0.023
0.001	0.025
-0.002	0.028
0.002	0.028
-0.002	0.025
0.001	0.025
-0.003	0.023
-0.004	0.026
-0.000	0.029
0.002	0.028
0.003	0.025
-0.000	0.025
-0.004	0.023
-0.003	0.024
-0.002	0.026
0.001	0.028
0.002	0.028
-0.000	0.026
-0.002	0.023
-0.003	0.023
0.001	0.024
0.002	0.026
0.003	0.028
0.001	0.029
-0.003	0.028
-0.003	0.023
-0.000	0.023
-0.002	0.026
0.002	0.028
-0.000	0.028
-0.004	0.025
-0.003	0.026
-0.003	0.023
-0.000	0.026
0.002	0.024
0.002	0.028
-0.000	0.025
-0.003	0.025
-0.003	0.023
-0.000	0.023
0.003	0.026
0.003	0.029
0.001	0.028
0.001	0.026
-0.003	0.023
0.001	0.023
-0.002	0.025
0.002	0.024
-0.002	0.028
-0.000	0.025
-0.003	0.026
-0.003	0.023
-0.002	0.023
0.003	0.025
0.002	0.028
-0.000	0.028
-0.000	0.026
-0.004	0.026
-0.000	0.023
-0.000	0.028
0.002	0.025
0.003	0.028
-0.000	0.029
-0.003	0.026
-0.003	0.023
0.001	0.023
-0.000	0.025
0.002	0.028
0.001	0.028
0.001	0.026
-0.004	0.025
-0.003	0.023
-0.000	0.026
-0.002	0.025
0.002	0.028
-0.000	0.028
0.001	0.025
-0.003	0.023
-0.000	0.023
-0.000	0.026
0.002	0.025
-0.000	0.028
-0.000	0.026
-0.003	0.026
-0.000	0.023
0.001	0.025
0.002	0.025
0.002	0.028
-0.000	0.026
-0.002	0.026
-0.003	0.023
-0.000	0.023
0.002	0.025
0.002	0.028
0.001	0.028
-0.002	0.025
-0.003	0.026
-0.003	0.023
-0.000	0.026
0.002	0.025
0.002	0.028
-0.000	0.025
-0.000	0.023
-0.003	0.023
-0.003	0.025
-0.000	0.029
0.002	0.028
-0.000	0.028
-0.000	0.025
-0.003	0.023
-0.003	0.024
-0.000	0.028
-0.000	0.029
0.005	0.026
-0.000	0.026
-0.002	0.021
-0.003	0.023
0.001	0.025
-0.000	0.028
0.002	0.029
0.002	0.026
-0.000	0.023
-0.003	0.021
-0.003	0.026
-0.002	0.025
0.002	0.028
0.002	0.026
0.001	0.026
-0.002	0.023
-0.004	0.023
-0.002	0.026
-0.002	0.028
0.002	0.028
0.002	0.026
0.001	0.023
-0.003	0.023
-0.004	0.025
-0.000	0.025
0.002	0.028
0.002	0.025
-0.002	0.026
-0.002	0.021
-0.003	0.023
-0.000	0.026
0.002	0.025
0.002	0.028
-0.002	0.029
-0.004	0.026
-0.003	0.023
-0.000	0.023
-0.002	0.024
0.002	0.028
-0.000	0.029
-0.002	0.026
-0.003	0.026
-0.003	0.023
-0.000	0.026
0.002	0.026
0.002	0.029
-0.002	0.028
-0.003	0.026
-0.003	0.023
0.001	0.023
-0.000	0.026
0.002	0.028
-0.002	0.028
-0.003	0.028
-0.003	0.025
-0.003	0.023
-0.000	0.025
0.002	0.025
0.002	0.029
0.001	0.026
-0.002	0.025
-0.003	0.023
-0.002	0.023
0.002	0.028
0.002	0.028
-0.002	0.029
0.001	0.026
-0.004	0.026
-0.003	0.023
0.001	0.025
0.002	0.026
0.002	0.028
-0.000	0.029
-0.000	0.026
-0.003	0.023
0.001	0.023
-0.002	0.025
0.002	0.025
0.003	0.028
-0.000	0.026
-0.000	0.023
-0.003	0.023
-0.002	0.023
-0.002	0.028
0.002	0.028
0.003	0.026
0.001	0.025
-0.003	0.023
-0.003	0.023
-0.000	0.025
0.002	0.025
-0.002	0.029
-0.000	0.026
-0.003	0.026
-0.002	0.023
0.001	0.023
0.002	0.026
0.002	0.028
-0.002	0.029
-0.000	0.024
-0.004	0.023
-0.000	0.023
-0.000	0.026
0.002	0.025
-0.002	0.028
-0.002	0.029
-0.003	0.025
-0.003	0.023
-0.000	0.023
0.001	0.026
0.002	0.029
0.002	0.029
-0.000	0.025
-0.003	0.024
-0.003	0.023
-0.002	0.025
0.002	0.024
-0.000	0.028
0.002	0.026
-0.002	0.026
-0.003	0.023
-0.000	0.023
-0.000	0.028
0.002	0.028
0.002	0.026
-0.002	0.025
0.001	0.023
-0.003	0.023
-0.000	0.026
-0.000	0.028
0.002	0.028
0.001	0.026
-0.002	0.023
-0.003	0.025
-0.002	0.024
0.001	0.028
0.002	0.029
0.002	0.024
0.001	0.021
-0.003	0.023
-0.004	0.025
-0.002	0.026
0.002	0.028
0.002	0.028
-0.000	0.024
-0.000	0.026
-0.000	0.021
-0.000	0.025
0.002	0.024
0.002	0.028
0.001	0.026
-0.003	0.024
-0.003	0.023
-0.002	0.024
0.003	0.025
0.002	0.029
-0.000	0.029
-0.002	0.026
-0.003	0.023
-0.003	0.026
0.001	0.030
0.002	0.028
0.002	0.026
-0.000	0.023
0.001	0.023
-0.004	0.023
-0.000	0.024
0.001	0.029
0.002	0.028
0.002	0.026
-0.002	0.023
-0.003	0.023
-0.003	0.025
-0.000	0.025
0.002	0.029
0.002	0.024
-0.000	0.026
0.001	0.023
-0.004	0.023
-0.002	0.024
-0.000	0.028
0.002	0.028
-0.002	0.024
-0.003	0.026
-0.003	0.023
-0.002	0.025
0.002	0.026
0.002	0.028
-0.002	0.028
-0.003	0.026
-0.003	0.023
-0.000	0.023
-0.000	0.028
0.002	0.028
-0.000	0.029
0.001	0.025
-0.004	0.023
-0.000	0.023
-0.000	0.026
0.002	0.025
-0.000	0.028
-0.000	0.026
-0.000	0.023
-0.003	0.024
0.001	0.025
-0.000	0.029
0.002	0.026
0.002	0.025
-0.002	0.026
-0.004	0.024
-0.003	0.025
-0.000	0.026
0.002	0.028
0.002	0.025
-0.002	0.025
-0.003	0.023
-0.003	0.025
-0.000	0.025
0.001	0.029
0.002	0.026
-0.000	0.025
0.001	0.023
-0.004	0.024
-0.002	0.025
0.001	0.028
0.003	0.028
-0.002	0.028
-0.003	0.025
-0.003	0.023
-0.002	0.023
0.003	0.025
0.002	0.028
-0.000	0.029
-0.004	0.024
-0.003	0.023
-0.003	0.025
-0.000	0.025
-0.002	0.028
0.002	0.028
0.001	0.026
-0.000	0.023
-0.004	0.023
-0.003	0.025
-0.002	0.028
0.002	0.026
0.002	0.026
-0.000	0.023
-0.000	0.023
-0.003	0.026
0.001	0.025
-0.002	0.028
0.002	0.025
0.001	0.026
-0.000	0.023
-0.003	0.023
-0.003	0.025
-0.000	0.029
0.002	0.029
0.002	0.025
0.001	0.023
-0.004	0.023
-0.004	0.025
-0.002	0.025
-0.000	0.028
0.002	0.028
0.001	0.024
-0.002	0.023
-0.003	0.021
-0.003	0.026
0.001	0.028
0.002	0.028
0.002	0.026
-0.000	0.024
-0.003	0.023
-0.003	0.025
-0.002	0.025
0.002	0.028
0.002	0.025
-0.000	0.023
-0.003	0.023
-0.003	0.026
-0.000	0.026
0.002	0.029
0.002	0.026
0.001	0.026
-0.000	0.023
-0.003	0.023
0.001	0.025
0.001	0.028
0.002	0.028
-0.000	0.026
-0.000	0.026
-0.003	0.023
-0.003	0.024
-0.000	0.028
0.003	0.029
0.002	0.025
-0.000	0.023
-0.003	0.023
-0.004	0.025
0.001	0.025
-0.002	0.028
0.002	0.028
0.001	0.024
-0.002	0.023
-0.004	0.025
-0.000	0.025
-0.000	0.028
0.002	0.029
0.002	0.026
-0.000	0.023
-0.004	0.023
-0.004	0.023
-0.000	0.025
0.002	0.029
0.002	0.026
0.001	0.026
-0.002	0.023
-0.004	0.025
-0.000	0.026
-0.000	0.028
0.002	0.028
-0.000	0.025
-0.000	0.023
-0.003	0.023
-0.003	0.025
0.001	0.025
0.002	0.028
0.002	0.026
-0.002	0.026
0.001	0.023
-0.004	0.025
0.001	0.025
-0.002	0.028
0.002	0.028
0.002	0.026
-0.000	0.023
-0.004	0.023
-0.003	0.025
0.001	0.025
0.002	0.030
0.003	0.026
0.001	0.026
-0.000	0.021
-0.003	0.025
0.001	0.025
0.001	0.028
0.002	0.028
-0.002	0.026
-0.002	0.021
-0.003	0.023
-0.003	0.025
-0.000	0.028
0.002	0.029
0.002	0.026
-0.002	0.023
-0.003	0.023
-0.004	0.025
-0.002	0.026
0.002	0.028
0.002	0.028
-0.002	0.025
0.001	0.023
-0.004	0.023
-0.000	0.026
-0.002	0.028
0.002	0.029
0.002	0.024
0.001	0.026
-0.003	0.023
-0.003	0.025
-0.002	0.026
-0.002	0.028
0.002	0.025
-0.000	0.024
-0.000	0.023
-0.003	0.023
-0.002	0.025
-0.002	0.029
0.002	0.028
0.002	0.026
-0.002	0.026
-0.004	0.023
-0.003	0.024
-0.002	0.026
-0.000	0.029
0.002	0.026
-0.002	0.024
-0.002	0.023
-0.003	0.023
0.001	0.025
-0.000	0.028
0.003	0.028
0.003	0.025
-0.002	0.026
-0.003	0.021
-0.004	0.026
-0.002	0.028
0.002	0.028
0.002	0.028
0.001	0.026
0.001	0.023
-0.003	0.025
-0.003	0.028
-0.002	0.028
0.002	0.028
-0.002	0.026
-0.002	0.023
-0.003	0.023
-0.003	0.026
-0.000	0.028
0.002	0.028
0.002	0.026
-0.000	0.025
-0.003	0.023
-0.000	0.023
-0.000	0.026
0.002	0.026
-0.000	0.029
0.001	0.024
-0.003	0.026
-0.000	0.023
-0.000	0.025
0.002	0.026
0.002	0.030
-0.002	0.029
-0.003	0.024
-0.004	0.023
-0.000	0.023
-0.000	0.028
0.002	0.029
0.002	0.028
-0.002	0.026
-0.003	0.024
-0.003	0.026
-0.000	0.025
-0.000	0.028
0.002	0.028
0.002	0.026
0.001	0.026
-0.004	0.021
-0.003	0.025
-0.000	0.026
0.002	0.028
0.002	0.024
-0.000	0.025
-0.000	0.024
-0.002	0.023
0.001	0.025
0.002	0.026
0.002	0.028
-0.000	0.025
-0.003	0.025
-0.003	0.023
-0.002	0.026
0.001	0.024
0.002	0.029
0.002	0.026
0.001	0.021
-0.003	0.023
-0.003	0.025
-0.002	0.025
0.002	0.028
0.001	0.028
-0.000	0.026
-0.003	0.023
-0.003	0.023
-0.000	0.025
-0.000	0.029
0.003	0.026
0.001	0.026
-0.000	0.023
-0.003	0.023
-0.003	0.026
0.001	0.029
0.002	0.029
0.002	0.025
0.001	0.026
-0.004	0.023
-0.003	0.025
-0.000	0.026
0.001	0.029
0.002	0.026
-0.002	0.026
-0.002	0.023
-0.003	0.023
-0.000	0.024
-0.002	0.029
0.003	0.026
-0.000	0.026
-0.002	0.023
-0.003	0.023
-0.003	0.026
-0.000	0.024
0.002	0.028
0.002	0.026
0.001	0.024
-0.003	0.023
-0.004	0.025
-0.002	0.025
-0.000	0.028
0.002	0.026
0.001	0.026
-0.004	0.026
-0.003	0.023
-0.000	0.025
0.002	0.026
0.003	0.029
-0.000	0.028
-0.003	0.025
-0.003	0.023
-0.000	0.023
0.001	0.024
0.002	0.029
-0.002	0.029
0.001	0.026
-0.003	0.025
-0.000	0.023
0.001	0.025
0.002	0.025
0.003	0.028
0.001	0.026
-0.004	0.028
-0.004	0.023
-0.002	0.025
-0.002	0.025
0.002	0.029
0.001	0.028
-0.003	0.026
-0.003	0.023
-0.000	0.023
-0.000	0.026
0.002	0.029
0.001	0.028
-0.002	0.026
-0.003	0.023
-0.000	0.023
0.002	0.025
0.002	0.025
0.002	0.028
0.001	0.024
-0.004	0.026
-0.003	0.023
-0.000	0.024
0.002	0.025
0.001	0.028
0.003	0.026
0.001	0.023
-0.004	0.023
-0.002	0.026
-0.002	0.025
0.002	0.026
0.002	0.024
-0.002	0.026
-0.004	0.023
-0.003	0.023
-0.000	0.024
0.002	0.025
-0.000	0.029
0.001	0.025
-0.003	0.026
-0.003	0.023
-0.002	0.025
0.003	0.026
0.002	0.028
-0.002	0.029
-0.003	0.026
-0.003	0.023
-0.000	0.023
-0.002	0.025
0.002	0.028
-0.002	0.028
0.001	0.026
-0.004	0.025
-0.003	0.023
0.001	0.026
0.002	0.025
-0.000	0.028
-0.002	0.026
-0.004	0.025
-0.000	0.021
-0.000	0.023
-0.002	0.028
0.002	0.028
0.002	0.026
0.001	0.025
-0.003	0.023
-0.004	0.026
-0.000	0.025
0.003	0.025
0.002	0.028
0.001	0.025
-0.004	0.028
-0.002	0.023
-0.000	0.025
0.003	0.025
0.002	0.030
0.001	0.024
0.001	0.023
-0.003	0.023
-0.003	0.026
-0.000	0.028
0.002	0.028
0.001	0.025
0.001	0.026
-0.004	0.023
-0.003	0.026
-0.000	0.026
-0.002	0.029
0.002	0.028
-0.000	0.025
-0.002	0.023
-0.004	0.023
-0.003	0.025
-0.002	0.025
0.002	0.029
0.002	0.025
-0.002	0.025
-0.000	0.023
-0.003	0.023
0.001	0.025
0.001	0.028
0.002	0.028
0.002	0.026
0.001	0.028
-0.003	0.023
-0.003	0.026
0.001	0.028
-0.000	0.028
0.002	0.028
-0.000	0.026
0.001	0.023
-0.004	0.023
-0.002	0.026
-0.000	0.030
0.002	0.028
0.002	0.026
-0.002	0.023
-0.004	0.023
-0.004	0.025
-0.000	0.025
0.002	0.028
-0.000	0.028
0.001	0.025
-0.003	0.026
-0.004	0.024
-0.000	0.025
0.002	0.026
0.002	0.028
-0.000	0.026
-0.003	0.025
-0.003	0.023
-0.000	0.023
0.002	0.026
0.002	0.029
-0.002	0.028
-0.003	0.026
-0.003	0.023
-0.000	0.023
0.001	0.026
-0.000	0.028
0.002	0.029
0.001	0.024
-0.000	0.023
-0.003	0.023
-0.000	0.025
0.002	0.025
0.002	0.028
0.002	0.028
0.001	0.023
-0.004	0.023
-0.003	0.028
0.001	0.026
0.002	0.029
0.002	0.025
0.001	0.026
-0.000	0.023
-0.004	0.023
-0.000	0.025
-0.000	0.029
0.002	0.029
-0.002	0.025
0.001	0.023
-0.003	0.023
-0.003	0.025
-0.002	0.029
0.002	0.028
0.002	0.025
-0.000	0.026
-0.004	0.023
-0.003	0.026
-0.002	0.024
0.001	0.026
0.001	0.029
-0.002	0.025
-0.002	0.023
-0.003	0.025
-0.004	0.026
-0.002	0.025
0.002	0.028
0.002	0.025
-0.000	0.026
-0.003	0.023
-0.003	0.026
0.001	0.028
-0.000	0.028
0.002	0.024
-0.002	0.025
-0.002	0.023
-0.003	0.023
0.001	0.026
-0.002	0.024
0.002	0.028
0.002	0.026
0.001	0.026
-0.004	0.023
-0.004	0.026
-0.000	0.025
-0.002	0.029
0.002	0.024
0.001	0.023
0.001	0.023
-0.003	0.026
-0.002	0.026
-0.002	0.030
0.002	0.029
-0.002	0.026
-0.002	0.023
-0.003	0.023
-0.004	0.025
0.001	0.025
0.002	0.028
0.002	0.028
0.002	0.024
-0.003	0.025
-0.000	0.023
-0.002	0.025
0.002	0.025
0.002	0.030
0.001	0.026
-0.003	0.026
-0.003	0.023
-0.000	0.023
-0.000	0.025
0.002	0.029
0.001	0.028
0.001	0.025
-0.003	0.026
-0.003	0.025
-0.000	0.028
-0.000	0.028
0.002	0.024
0.001	0.026
0.001	0.026
-0.004	0.023
-0.004	0.026
0.001	0.028
0.002	0.028
0.002	0.024
-0.002	0.026
-0.003	0.023
-0.003	0.026
0.001	0.024
0.002	0.025
0.001	0.028
-0.002	0.026
-0.003	0.024
-0.003	0.023
-0.000	0.025
0.002	0.024
-0.000	0.030
-0.002	0.025
-0.002	0.023
-0.003	0.023
-0.003	0.026
-0.000	0.029
0.002	0.028
-0.000	0.029
-0.004	0.024
-0.003	0.023
-0.002	0.023
0.002	0.026
0.002	0.028
-0.002	0.028
-0.000	0.025
-0.003	0.023
-0.000	0.023
-0.000	0.024
0.002	0.024
0.001	0.028
-0.000	0.026
-0.002	0.023
-0.003	0.024
0.001	0.026
-0.002	0.028
0.002	0.029
-0.002	0.025
0.001	0.023
-0.003	0.023
-0.003	0.026
0.001	0.026
0.002	0.028
0.002	0.024
-0.002	0.026
-0.004	0.023
-0.004	0.023
-0.002	0.025
-0.000	0.028
0.002	0.026
-0.002	0.025
-0.002	0.024
-0.003	0.023
0.001	0.024
-0.000	0.025
0.002	0.029
0.002	0.024
-0.000	0.026
-0.004	0.023
-0.003	0.025
-0.002	0.024
-0.000	0.028
0.002	0.025
-0.000	0.025
0.001	0.023
-0.003	0.023
-0.004	0.025
-0.000	0.028
0.002	0.029
0.002	0.026
-0.002	0.023
-0.003	0.023
-0.003	0.025
0.001	0.025
-0.002	0.028
0.002	0.025
0.001	0.026
-0.002	0.023
-0.003	0.023
-0.002	0.025
-0.000	0.028
0.002	0.029
0.001	0.028
-0.003	0.026
-0.003	0.023
0.001	0.023
-0.000	0.028
0.002	0.028
0.002	0.028
-0.000	0.023
-0.002	0.023
-0.003	0.025
0.001	0.025
-0.000	0.029
0.002	0.026
-0.002	0.026
0.001	0.026
-0.002	0.021
0.001	0.025
0.002	0.025
0.002	0.029
-0.000	0.028
-0.000	0.023
-0.003	0.023
-0.004	0.025
-0.000	0.026
0.002	0.028
0.002	0.024
0.001	0.024
-0.002	0.023
-0.003	0.026
-0.000	0.025
-0.000	0.029
0.003	0.028
-0.000	0.026
0.001	0.023
-0.004	0.023
-0.003	0.025
-0.000	0.026
0.002	0.028
0.002	0.024
-0.002	0.026
-0.003	0.023
-0.004	0.023
0.001	0.025
-0.000	0.028
0.002	0.026
-0.002	0.026
-0.002	0.023
-0.003	0.026
-0.000	0.025
-0.002	0.028
0.002	0.029
-0.002	0.025
0.001	0.023
-0.004	0.023
-0.004	0.025
-0.002	0.028
0.002	0.028
-0.002	0.028
0.001	0.026
-0.003	0.023
0.001	0.023
-0.000	0.025
0.002	0.028
0.002	0.026
-0.000	0.026
-0.002	0.023
-0.003	0.025
0.001	0.025
0.001	0.028
0.002	0.028
-0.002	0.025
-0.000	0.025
-0.004	0.023
-0.004	0.026
-0.000	0.028
0.002	0.028
0.002	0.029
-0.003	0.026
-0.003	0.026
0.001	0.023
-0.000	0.025
0.002	0.025
0.002	0.028
-0.000	0.024
-0.003	0.025
-0.004	0.023
-0.000	0.026
0.002	0.026
0.001	0.029
-0.000	0.028
-0.004	0.025
-0.003	0.023
-0.004	0.026
-0.002	0.028
0.002	0.028
0.002	0.026
-0.000	0.026
-0.000	0.024
-0.003	0.024
-0.000	0.026
-0.002	0.028
0.002	0.028
0.002	0.026
0.001	0.026
-0.003	0.023
-0.003	0.026
-0.002	0.025
-0.002	0.028
0.003	0.026
-0.000	0.025
0.001	0.021
-0.004	0.023
-0.003	0.025
-0.002	0.025
0.002	0.028
0.002	0.028
0.001	0.024
-0.003	0.021
-0.003	0.023
-0.000	0.026
0.002	0.024
0.001	0.029
-0.002	0.026
-0.004	0.025
-0.003	0.023
-0.002	0.025
0.002	0.026
0.002	0.029
0.001	0.028
0.001	0.026
-0.004	0.021
-0.002	0.023
0.002	0.026
0.002	0.025
0.002	0.028
-0.002	0.026
-0.004	0.026
-0.003	0.023
-0.002	0.026
-0.002	0.030
0.002	0.029
0.003	0.026
0.001	0.026
-0.004	0.023
-0.003	0.023
-0.000	0.026
-0.000	0.028
0.002	0.025
-0.002	0.026
-0.002	0.023
-0.004	0.023
-0.000	0.025
-0.000	0.028
0.002	0.029
-0.000	0.028
-0.002	0.026
-0.003	0.023
-0.000	0.023
-0.002	0.025
0.002	0.029
-0.000	0.028
-0.000	0.025
-0.003	0.026
-0.003	0.023
-0.002	0.025
0.001	0.024
0.002	0.028
-0.000	0.028
0.001	0.026
-0.003	0.023
-0.000	0.023
-0.000	0.025
0.002	0.028
-0.000	0.029
-0.002	0.026
0.001	0.023
-0.003	0.023
0.001	0.026
-0.000	0.028
0.003	0.028
0.001	0.026
0.001	0.023
-0.004	0.023
-0.003	0.024
0.001	0.026
0.002	0.028
0.002	0.026
-0.002	0.026
-0.003	0.023
-0.003	0.025
-0.000	0.025
-0.000	0.028
0.002	0.026
-0.000	0.024
-0.002	0.023
-0.003	0.023
-0.003	0.026
-0.002	0.028
0.002	0.028
0.002	0.025
-0.000	0.023
0.001	0.026
-0.003	0.023
0.001	0.024
0.002	0.025
0.002	0.028
-0.000	0.028
-0.003	0.026
-0.003	0.023
-0.000	0.023
-0.000	0.026
0.002	0.026
0.002	0.028
0.001	0.026
-0.003	0.025
-0.003	0.025
0.001	0.025
-0.000	0.028
0.002	0.029
0.002	0.026
-0.000	0.026
-0.003	0.023
-0.003	0.026
-0.000	0.025
0.002	0.028
